"No","機能区分","要件","実現可否","備考（詳細は docs/仕様書.md を正とする）"
"43","契約管理","過去契約の全履歴を一括移行できる専用機能がある","?","仕様書対象外"
"44","契約管理","次回更新日・未更新を商談と合わせてレポート抽出できる","△","データはある。標準レポート同梱なし"
"45","料金計算・請求","受注時に請求商品を自動生成できる","◯","仕様書 §6"
"46","料金計算・請求","継続課金は月単位の請求明細を作成できる","◯","請求設定に依らず月次行。仕様書 §6.3"
"47","料金計算・請求","請求予定をプレビューできる","◯","既存請求のマージ表示。仕様書 §7"
"48","料金計算・請求","消費税を計算し税率を契約サービスで持てる","◯","CS項目初期値画面10%。未入力は0%。請求商品は生成時スナップショット。税額は帳票合計で1回。仕様書 §4.6 / §6.10"
"49","料金計算・請求","免税・対象外を柔軟に切り替えられる","△","サービス単位の税率のみ"
"50","料金計算・請求","複数通貨契約に対応できる","?","JPYのみ。仕様書 §9.2 / §11"
"51","料金計算・請求","請求商品を請求済としてマークしロックできる","◯","SystemIntegrationDate / PaymentClearingCompletedDate。仕様書 §6.9"
"52","料金計算・請求","顧客向け請求書PDFを発行・メール送付できる","?","仕様書 §11"
"53","料金計算・請求","請求書フォーマットを発行時に切り替えられる","?","仕様書対象外"
"54","料金計算・請求","複数契約を1つの請求書に合算発行できる","?","仕様書対象外"
"55","料金計算・請求","同一契約の請求を金額割合で分割できる","?","仕様書 §9.3 / §11"
"56","料金計算・請求","請求書の予約発送ができる","?","仕様書対象外"
"57","料金計算・請求","未エクスポート請求商品をグルーピングしてエクスポートできる","△","マージキー項目はある。専用エクスポートApexは標準外。仕様書 §6.11"
"58","入金管理","支払条件から入金予定日を自動計算できる","◯","仕様書 §6.8"
"59","入金管理","入金実績の登録・消込ができる","?","仕様書 §11"
"60","入金管理","当月未入金を抽出して一括督促メールを送れる","?","仕様書対象外"
"61","入金管理","freee入金と双方向連携できる","?","仕様書 §11"
"62","顧客紹介手数料","パートナー手数料を契約明細で保持・自動計算できる","?","仕様書対象外"
"63","顧客紹介手数料","入金済みを条件に紹介手数料伝票を出力できる","?","仕様書対象外"
"64","売上管理仕訳","売掛金・前受収益の仕訳データを生成できる","?","仕様書対象外"
"65","売上管理仕訳","前受収益を課金期間に応じて売上へ振替できる","?","仕様書対象外"
"66","売上管理仕訳","プラン/商品ごとに売上科目・部門を設定できる","?","仕様書対象外"
"67","売上管理仕訳","freee会計へ仕訳を自動連携できる","?","仕様書 §11"
"68","売上管理仕訳","仕訳出力済みフラグで重複・漏れを確認できる","△","LatestExportDate 程度"
"69","売上管理仕訳","月次締め後の遡及変更で相殺仕訳を自動作成できる","?","仕様書対象外"
"70","分析","企業ごとの受注済ARR積み上げを分析できる","△","データあり。標準ダッシュボードなし。仕様書 §8 / §11"
"71","分析","将来の自動更新を含む入金シミュレーションを出力できる","?","仕様書 §9.3 / §11"
"72","分析","自由クエリでデータ出力できる","※","Salesforce標準機能を利用"
"73","子会社契約","子会社契約を本社会計と連携せず管理できる","△","会計連携自体なし"
"74","API連携","外部システム向けREST API / callout連携を提供する","?","仕様書対象外"
"75","API連携","請求書送付後の修正不可・同一番号再発番不可を強制できる","△","ロックはあるが請求書番号モデルなし。仕様書 §6.9"
"76","API連携","月次締め処理・締め後の伝票作成制限ができる","?","仕様書対象外"
